ano_trimestre,mes_central,ano_encuesta,mes_encuesta,region,provincia,r_p_c,estrato,tipo,conglomerado,id_identificacion,hogar,idrph,nro_linea,edad,tramo_edad,sexo,parentesco,curso,nivel,termino_nivel,estudia_actual,cine,est_conyugal,proveedor,orig1,orig2,orig3,nacionalidad,mig1,mig2_cod,mig3_cod,mig4,mig5_cod,mig6_cod,a1,a2,a3,a4,a5,a6,a6_otro,a7,a8,b1,b2,b3,b4,b5,b6,b7a_1,b7a_2,b7a_3,b7b_1,b7b_2,b7b_3,b7b_4,b8,b9,b10,b11_proxy,b12,b13_rev4cl_caenes,i1,i2,i3,i3_v,i4,i5,i6,i7,b14_rev4cl_caenes,b15_1,b15_2,b16,b16_otro,b17_mes,b17_ano,b18_codigo,b18_region,b18_varias,ocup_honorarios,plataformas_digitales,pd_especifique,b19,dependencia_segunda,sda_pd,sda_pd_especifique,turno,turno_d,turno_de,turno_h,turno_t,c2_1_1,c2_1_2,c2_1_3,c2_2_1,c2_2_2,c2_2_3,c3_1,c3_2,c3_3,turno_cont_d,turno_cont_de,turno_cont_h,turno_cont_t,c4,c5,c6,c7,c8,c9,c9_otro,adicionales_h,adicionales_d,adicionales_t,c10,c11,c12,habituales,efectivas,e2,e3_1,e3_2,e3_3,e3_4,e3_5,e3_6,e3_7,e3_8,e3_9,e3_10,e3_11,e3_12,e3_total,e4,e5,e5_dia,e5_sem,e5_mes,e5_ano,e6_mes,e6_ano,e7,e9,e9_otro,e10,deseo_trabajar,e11,e12,e12_otro,e13,e21_mes,e21_ano,e21_tramo,e22,e23,e23_otro,e24,e24_otro,activ,obe,tpi,id,ftp,cae_general,cae_especifico,categoria_ocupacion,ocup_form,r_p_rev4cl_caenes,sector,fact_anual
2023,8,2023,7,5,55,5501,5500112,1,34802,166800,1,13578444801,2,70,12.0,2,2,1,4,2,2,5,1,0,2,,,152,1,,,1,,,2.0,2.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,7.0,,,2.0,2.0,4.0,,1.0,99.0,2003.0,4.0,5.0,,,,,3.0,,,0.0,0.0,9,19,0,,,,"61,9626407415006"
2023,11,2023,11,8,83,8301,8300120,3,25042,142060,1,10524409504,2,24,2.0,2,4,3,9,2,1,7,3,0,2,,,152,1,,,1,,,2.0,2.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,4.0,,,2.0,2.0,3.0,,2.0,,,,,,,,,3.0,,,0.0,0.0,9,15,0,,,,"27,1346933166646"
2023,8,2023,7,7,74,7401,7400120,3,41674,156755,1,10046046500,1,69,11.0,2,1,7,3,2,2,4,1,1,2,,,152,1,,,1,,,2.0,2.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,3.0,,,2.0,2.0,5.0,,1.0,88.0,2023.0,1.0,2.0,,,2.0,,3.0,,,0.0,0.0,9,13,0,,,,"25,8889692568259"
2023,8,2023,8,8,83,8301,8300111,1,27968,168472,1,815601986,3,16,1.0,2,4,2,4,2,1,5,3,0,2,,,152,1,,,1,,,2.0,2.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,4.0,,,2.0,2.0,3.0,,2.0,,,,,,,,,3.0,,,0.0,0.0,9,15,0,,,,"43,4407815604551"
2023,8,2023,8,5,51,5101,5100111,1,37342,141693,1,10327277786,1,71,12.0,2,1,6,3,2,2,3,1,1,2,,,152,1,,,1,,,2.0,2.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,7.0,,,2.0,2.0,8.0,,1.0,12.0,2010.0,4.0,5.0,,,,,3.0,,,0.0,0.0,9,19,0,,,,"33,4381954809565"
2023,2,2023,3,13,136,13603,13600220,3,14578,108747,1,1611710218,1,49,7.0,2,1,8,3,1,1,4,4,1,2,,,152,1,,,2,9201.0,,2.0,2.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,9.0,,,1.0,1.0,,,1.0,3.0,2019.0,3.0,3.0,,,,,3.0,,,0.0,1.0,8,25,0,,,,"22,4252440135751"
2023,2,2023,1,13,131,13124,13100511,1,14501,129400,1,4396210662,3,26,3.0,1,5,2,4,2,2,5,2,0,2,,,152,1,,,1,,,1.0,,1.0,,,,,,,5.0,2.0,,,2.0,,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,,2.0,1.0,,3.0,2.0,2.0,0.0,,,,,7.0,1.0,2.0,6.0,,88.0,2018.0,13124.0,13.0,1.0,2.0,2.0,,2.0,,,,2.0,,,,,999.0,6.0,40.0,,,,999.0,6.0,40.0,,,,,,2.0,,2.0,,,,,,,2.0,,,40.0,40.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,,,1,1,3,2.0,7.0,2.0,"120,988435160145"
2023,2,2023,1,13,132,13201,13200112,1,43721,129113,1,19146955752,2,27,3.0,1,4,6,9,1,2,7,3,0,2,,,152,1,,,2,13131.0,,2.0,2.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,2.0,,1.0,15.0,2.0,1.0,2023.0,1.0,2023.0,1.0,,,,,1.0,,,2.0,,,,,,,,,2.0,,,,,5,9,0,,,,"134,234040602542"
2023,2,2023,3,16,161,16101,16100112,1,15040,127507,1,388181216,1,79,12.0,1,1,6,3,1,2,3,1,1,2,,,152,1,,,2,16305.0,,2.0,2.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,8.0,,,2.0,2.0,8.0,,1.0,6.0,2017.0,3.0,5.0,,,,,3.0,,,0.0,0.0,9,21,0,,,,"26,2217826953803"
2023,11,2023,10,9,91,9106,9100210,1,35587,174131,1,9793429719,2,40,6.0,1,3,4,5,1,2,5,2,0,1,1.0,,152,1,,,1,,,1.0,,1.0,,,,,,,3.0,2.0,,,1.0,,77.0,77.0,77.0,77.0,77.0,77.0,77.0,1.0,2.0,,1.0,2.0,15.0,1.0,1.0,1.0,0.0,,,,,13.0,4.0,,1.0,,2.0,2014.0,9106.0,9.0,1.0,1.0,2.0,,2.0,,,,2.0,,,,,9.0,5.0,45.0,,,,9.0,5.0,45.0,,,,,,2.0,,1.0,9.0,1.0,,,,,2.0,,,45.0,36.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,,,1,1,4,2.0,15.0,1.0,"60,6795276942652"
